name,start,end,size
sub_0031D280,0x31d280,0x383b30,420016
sub_00383B30,0x383b30,0x383c38,264
sub_00383C38,0x383c38,0x383d78,320
sub_00383D78,0x383d78,0x383f18,416
sub_00383F18,0x383f18,0x383f60,72
sub_00383F60,0x383f60,0x3844f0,1424
sub_003844F0,0x3844f0,0x3849a0,1200
sub_003849A0,0x3849a0,0x384d68,968
sub_00384D68,0x384d68,0x384e38,208
sub_00384E38,0x384e38,0x3c7ba0,273768
sub_003C7BA0,0x3c7ba0,0x3c7c20,128
sub_003C7C20,0x3c7c20,0x3c7cb0,144
sub_003C7CB0,0x3c7cb0,0x3c7d30,128
